Rank,Team,prize money,Apex Legends,Arena of Valor,Call of Duty,Clash Royale,Counter-Strike,CS:GO,Dota2,FIFA,Fortnite,Halo,Hearthstone,Heroes of the Storm,League of Legends,Overwatch,Paladins,PUBG,PUBG Mobile,Rainbow Six,Rocket League,StarCraft,Super Smash Bros.,Valorant,WarCraft3,Wild Rift,World of Warcraft
1,Team Liquid,42087242.45 ,283629.11 ,0.00 ,26250.00 ,285649.77 ,5375341.35 ,,24959041.10 ,840.00 ,1402325.00 ,335900.00 ,511790.89 ,433856.39 ,1359407.25 ,36216.00 ,,1292402.30 ,,1439879.51 ,84795.48 ,1679711.54 ,518364.48 ,376334.96 ,,,55000.00 
2,OG,37361505.19 ,,,,,,875442.10 ,36414545.63 ,,,,,,,,,,,,,,6847.46 ,0.00 ,,,
3,Evil Geniuses,26392821.19 ,,,917740.10 ,,220686.74 ,1112032.00 ,21535682.62 ,,2400.00 ,310500.00 ,,3200.00 ,222900.00 ,0.00 ,,2000.00 ,,370892.86 ,163797.60 ,785480.90 ,,22000.00 ,80795.13 ,,88400.00 
4,Team Spirit,21509255.51 ,0.00 ,,,,,981751.21 ,20210935.81 ,,,,275968.49 ,,0.00 ,,,100.00 ,,,,,,,,,
5,Team Secret,19537491.01 ,,,,,,67014.09 ,18245004.59 ,,205425.38 ,,,,32819.94 ,,,14700.00 ,360213.42 ,155188.69 ,96727.89 ,,4437.58 ,63000.00 ,,118550.52 ,
6,Natus Vincere,18843548.52 ,163569.00 ,,,,368287.81 ,8891074.32 ,5073472.17 ,27674.56 ,110605.00 ,48750.00 ,187439.55 ,135273.04 ,29714.57 ,,,683172.29 ,1042669.30 ,440887.56 ,8561.94 ,13075.20 ,,27419.63 ,,11760.00 ,
7,Fnatic,18701320.36 ,187975.00 ,,114024.94 ,25000.00 ,906191.61 ,4839015.23 ,5442134.95 ,167246.85 ,163430.00 ,74350.00 ,2112.34 ,931148.76 ,2987618.01 ,63939.34 ,121339.25 ,,66199.50 ,411267.51 ,57285.36 ,238575.54 ,,388007.85 ,49324.26 ,,37350.00 
8,Virtus.pro,18382606.79 ,16840.00 ,,,,364412.09 ,4338190.63 ,11557018.54 ,,320713.27 ,,300120.06 ,43221.36 ,84951.20 ,,80000.00 ,666213.93 ,38150.00 ,123655.14 ,,19234.68 ,,,,,
9,Paris Saint-Germain Esports,18344951.55 ,,23343.14 ,,,,,17471883.69 ,102318.36 ,4000.00 ,,,,268375.00 ,,,,,0.00 ,213303.70 ,,,0.00 ,,,
10,Vici Gaming,15731970.21 ,,511833.79 ,998843.73 ,,,,10518328.61 ,1039.47 ,,,103474.47 ,,288235.01 ,98025.65 ,,107254.99 ,,,,130610.94 ,,,,,
11,Invictus Gaming,14826331.73 ,46500.00 ,,,,,158268.79 ,9209806.57 ,,,,174111.30 ,,174111.30 ,64745.20 ,,,,63000.00 ,,645637.17 ,,,,10982.98 ,
12,Newbee,14228223.11 ,,,,,,,13391665.75 ,7747.62 ,105100.00 ,,102409.46 ,9481.86 ,67114.80 ,21590.82 ,,,,,,344915.62 ,,,,,
13,FaZe Clan,13985354.03 ,,,1860404.06 ,,,5574778.94 ,,48188.00 ,2317843.79 ,176800.00 ,,,,73300.00 ,,1734167.00 ,129602.18 ,996115.40 ,671600.00 ,,,121000.00 ,,,
14,LGD Gaming,13376169.12 ,,498455.74 ,,8008.50 ,,7928.04 ,10091974.49 ,,,,9981.00 ,,476798.65 ,161155.37 ,,101628.05 ,1488676.55 ,,,,,0.00 ,,4347.60 ,
