player_name,real_name,nationality,team,player_status,link,link2,link3,link3,link4
0waRy,,Japan,TSURUGI eSports,Active,{"twitch_link":"None"\,twitter_link:"https://twitter.com/OddKEI"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
1000Eyes,Tessa Steis,United States,TSURUGI eSports,Active,{"twitch_link":"https://www.twitch.tv/thousand_eyes"\,twitter_link:"https://twitter.com/1000EyesCasts"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCzk_4ehD0XKb_Tz2jZy88Nw"\,esl_profile_link:"None"}
1Fumeta,Gabriel Reinhardt,Brazil,TSURUGI eSports,Active,{"twitch_link":"https://www.twitch.tv/1fumeta"\,twitter_link:"https://twitter.com/1_fumeta"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCQFSafvLCeqBTj_u0rVpuUw?view_as=subscriber"\,esl_profile_link:"None"}
1ief,Peter Benney,Australia,TSURUGI eSports,Active,{"twitch_link":"https://www.twitch.tv/1ief"\,twitter_link:"https://twitter.com/1iefs"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
1ndraking,Sebastián Ezequiel Niz,Argentina,Pirate Dream Esports,Active,{"twitch_link":"https://www.twitch.tv/1ndraking"\,twitter_link:"https://twitter.com/1ndrakingg"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCM2jRtKMyVATbavMkngj81g"\,esl_profile_link:"None"}
1tappy,,Japan,V3 VEGA,Active,{"twitch_link":"https://www.twitch.tv/iseki_jp"\,twitter_link:"https://twitter.com/1TAPPYTHEWORLD"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCR77BYqfZTZG_tusffddpnw"\,esl_profile_link:"None"}
1Worst,Julio Augusto,Brazil,V4 VEGA,Active,{"twitch_link":"https://www.twitch.tv/1Worst"\,twitter_link:"https://twitter.com/1Worst1"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCsGT1ESpjtt4h_be9Lvh1iQ?view_as=subscriber"\,esl_profile_link:"None"}
247,,Japan,V5 VEGA,Active,{"twitch_link":"https://www.twitch.tv/g8s_247"\,twitter_link:"https://twitter.com/247sann"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCVyYio43POp_7f-1xu2MM8A"\,esl_profile_link:"None"}
3Mz,Hu Wang,China,DreamFire,Active,{"twitch_link":"None"\,twitter_link:"None"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
4SeTz,José Vinicius Testoni,Brazil,DreamFire,Active,{"twitch_link":"https://www.twitch.tv/4setz"\,twitter_link:"https://twitter.com/vini_testoni"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCll7fcA8YEavCUrhudkr8yw"\,esl_profile_link:"None"}
