earnings_rank,team,earnings,year
1,TSM,103700,2022
2,NEW Esports,100371,2022
3,Riddle,100000,2022
4,NRG,61847,2022
5,Alliance,60333,2022
6,DreamFire,56271,2022
7,Team Singularity,50375,2022
8,Team UNITE,50000,2022
9,Esports Arena,40311,2022
10,Gambit Esports,33640,2022
11,Reignite,25150,2022
12,Fênix Team,25075,2022
13,Flora esports,25000,2022
14,Sentinels,17100,2022
15,Cloud9,16300,2022
16,Invictus Gaming International,16006,2022
17,Torrent,16000,2022
18,V3 VEGA,15000,2022
19,69iQ esports,13224,2022
20,FENNEL,12741,2022
21,Team Burger,12500,2022
21,Team DeftFox,12500,2022
23,Renegades,9600,2022
24,MajorPushers,9300,2022
25,Fascination Colors Destroy,9024,2022
26,Quintette Fortissimo,9000,2022
27,Elevate,7750,2022
28,G2 Esports,7733,2022
29,EXO Clan,7500,2022
30,Rebel,7278,2022
31,K1CK,7035,2022
32,Atlanta Premier,7000,2022
32,REJECT,7000,2022
34,Guild Esports,6875,2022
35,Rage Entertainment Team,6635,2022
36,GMT Esports,6502,2022
37,T-Rex,6500,2022
38,FAV gaming,6185,2022
39,Horizon Union,6000,2022
40,LeaveNoWitness,5550,2022
41,Pro Gaming team Selector,5500,2022
41,Sutoraiku,5500,2022
43,RIG North,5000,2022
43,Dubblyew,5000,2022
45,Inside The Ring,4500,2022
46,Complexity Gaming,4300,2022
47,Team Liquid,4156,2022
48,Team Empire,3503,2022
49,Spacestation Gaming,3200,2022
50,BRAZUCAS,2750,2022
51,Overclock Esport,2500,2022
52,FURIA Esports,2350,2022
53,Ethernal,2279,2022
54,UNDERRATED,2200,2022
55,Totem Esports,2169,2022
56,Phoenix Legacy,2100,2022
57,Magicians,2056,2022
58,XSET,2050,2022
59,RxR Clover,2000,2022
59,CTG ibushiGin,2000,2022
59,456,2000,2022
59,Noble,2000,2022
59,GameWith,2000,2022
59,Crazy Raccoon,2000,2022
59,Solaris,2000,2022
66,Outplayed,1981,2022
67,Team Intel,1900,2022
68,Rascals,1639,2022
69,Name1ess,1448,2022
70,YungMoneyGuild,1445,2022
71,Natus Vincere,1420,2022
72,100 Thieves,1350,2022
72,Oxygen Esports,1350,2022
74,Golden Sage,1284,2022
75,ZETA DIVISION,1186,2022
76,Lazarus,1150,2022
77,Kungarna,1086,2022
78,MDY,1076,2022
79,Team Nerf,1050,2022
79,ATHXHVY,1050,2022
81,Dexterity,1000,2022
81,Team VIZIO,1000,2022
81,Pittsburgh Knights,1000,2022
81,United Crew γ,1000,2022
81,Lag Gaming,1000,2022
81,Sengoku Gaming,1000,2022
81,SCARZ Europe,1000,2022
81,Primis Komanda,1000,2022
81,XSpark,1000,2022
90,StinkyB,970,2022
91,start a fight eSports,950,2022
91,Team Nestle,950,2022
93,RCO eSports,750,2022
94,Forg Gang,690,2022
95,All Glory Gaming,600,2022
96,Method2Madness,500,2022
96,FusioN E-Sport,500,2022
96,Skull Cracker,500,2022
99,DNZ,365,2022
100,NoFear Gaming,343,2022
101,Acend,318,2022
102,Team Razer,300,2022
102,Team Excedrin,300,2022
102,Elev8 Entertainment,300,2022
102,Ghost Gaming,300,2022
106,SBI e-Sports,261,2022
107,Morning Stars,180,2022
108,Osh-Tekk Warriors,150,2022
109,Built By Gamers,100,2022
109,NXL WOLFPACK,100,2022
111,ANT Esports Club,76,2022
112,Game of Drones,50,2022
113,Clique Esports,28,2022
