earnings_rank,team,earnings,year
1,TSM,210917,2019
2,Sentinels,171194,2019
3,NRG,151158,2019
4,Rogue,133252,2019
5,Natus Vincere,111177,2019
6,GamersOrigin,52718,2019
7,789,40061,2019
8,Team Reciprocity,33590,2019
9,Counter Logic Gaming,32950,2019
10,T1,30700,2019
11,Fnatic NA,25725,2019
12,G2 Esports,24000,2019
13,Team Liquid,20150,2019
14,SUCCUBUS,19029,2019
15,Fire Beavers,18756,2019
16,PENTA,18000,2019
17,Tempo Storm,16850,2019
18,Misfits,16800,2019
19,MVP,15413,2019
20,Made in Thailand,14000,2019
21,Virtus.pro,12200,2019
22,KamiKaze,10073,2019
23,Luminosity Gaming,10000,2019
24,Oh My God,9462,2019
25,Gambit Esports,9000,2019
26,Alliance,8500,2019
27,Third Impact,7800,2019
28,MiTH Team 2,7000,2019
29,FlyQuest,6900,2019
30,K1CK,6600,2019
30,SoaR,6600,2019
32,For The Dream,5955,2019
33,Complexity Gaming,5500,2019
34,LFOffers,4900,2019
35,Lazarus EU,4500,2019
36,Team Singularity,4399,2019
37,WorldBestGaming White,4389,2019
38,LOVE Gaming,3744,2019
39,Trident Esports,3485,2019
40,Warthox Esport,3370,2019
41,ROFLANQ,3088,2019
42,RCO eSports,2500,2019
43,Guardian Gaming,2321,2019
44,Las Vegas MiniGunners,2168,2019
45,SJP2,1780,2019
46,100 Thieves,1500,2019
47,Alter Ego Dusk,1403,2019
48,SolaFide Black,1200,2019
48,Cloud9,1200,2019
48,Instinct Esports,1200,2019
51,CrowCrowd,1125,2019
52,Conquer Gaming,1086,2019
53,Osh-Tekk Warriors,1000,2019
53,WorldBestGaming Black,1000,2019
53,Ghost Gaming,1000,2019
56,The Start,920,2019
57,Ronin Horde,904,2019
58,CERBERUS Esports,874,2019
59,Sinisters Esports,813,2019
60,YMCA Esports Blue,784,2019
61,3DMAX,730,2019
62,Denial Esports,655,2019
63,ATHXHVY,618,2019
64,Fnatic EU,600,2019
64,tiny hand gang,600,2019
64,Vengeance,600,2019
67,Triumphant Song Gaming,595,2019
68,Rex Regum Qeon,524,2019
69,Avant Gaming,523,2019
69,Athletico,523,2019
71,EXO Clan,514,2019
72,Spear Gaming,502,2019
73,NASR Esports,500,2019
73,Spacestation Gaming,500,2019
73,Obey Alliance,500,2019
76,ConnectGaming Eclipse,443,2019
77,Xavier Esports,412,2019
78,Pro Gaming team Selector,373,2019
79,Myztro Gaming,350,2019
80,Team FiRE,333,2019
81,dead inside,300,2019
81,AllPlanned,300,2019
81,AYB Esports,300,2019
81,Inside Games,300,2019
85,Isurus Gaming,294,2019
86,Aequilibritas E-Sports,263,2019
87,Illuminate Esports,262,2019
88,Holo eSports,226,2019
89,Wind and Rain Orange,225,2019
90,Reapers Esports,170,2019
91,LatinGamers Squad,166,2019
92,Noble,150,2019
92,MRKN Clan,150,2019
94,Invictus Gaming Thunder,149,2019
95,Thonburi Esport,148,2019
96,Purple Mood E-Sport,131,2019
97,Alter Ego Lux,106,2019
98,Strong Esports NA,102,2019
99,9z Team,100,2019
100,Falcon eSports,78,2019
101,GameAgents,70,2019
102,Wind and Rain Black,60,2019
103,Morning Stars,59,2019
104,Dignitas,50,2019
105,Xavier Mystics,49,2019
106,AKIHABARA ENCOUNT,28,2019
107,YMCA Esports Red,26,2019
108,Lazarus,23,2019
109,Triumph,21,2019
110,Kingsmen,20,2019
111,nerdRage,15,2019
1,Complexity Gaming,96700,2020
2,TSM,94195,2020
3,Alliance,77375,2020
4,North,61340,2020
5,Counter Logic Gaming,57460,2020
6,GnaskeOliDel,54510,2020
7,Rogue,50585,2020
8,SolaFide,47885,2020
9,Team Cruelty,47700,2020
10,Les cités de France,47520,2020
11,EXO Clan,45670,2020
12,LYNX TH,44301,2020
13,T1,40673,2020
14,MiTH Team 2,40394,2020
15,NRG,39595,2020
16,Crazy Raccoon,37920,2020
17,Nessy,34685,2020
18,Made in Thailand,32542,2020
19,Gambit Esports,31335,2020
20,ELITE BR BLACK,29983,2020
21,Third Impact,26255,2020
22,AimAssist,25500,2020
23,NEW Esports,25480,2020
24,Team Liquid,25205,2020
25,Luminosity Gaming,24225,2020
26,Sentinels,23135,2020
27,ATHXHVY,20760,2020
28,BlackBird Ventus,20037,2020
29,Wygers,19460,2020
30,K1CK,18795,2020
31,FENNEL Korea,18000,2020
31,Flying Drone,18000,2020
33,ATK,17450,2020
34,Los Reyes Gorreados,17430,2020
35,DreamFire,17330,2020
36,OP.GG Sports,16976,2020
37,ChMK,14900,2020
38,FENNEL,14534,2020
39,T1 Korea,14010,2020
40,Loto Gaming,13770,2020
41,Myth,13550,2020
42,Fenerbahçe Esports,13410,2020
43,DeToNator,12970,2020
44,MajorPushers,12945,2020
45,BRAZUCAS,12847,2020
46,ZETA DIVISION,12637,2020
47,WOLFPACK ARCTIC,11680,2020
48,Flash Point,11170,2020
49,Triumph,10875,2020
50,SCARZ,10800,2020
50,Royal Youth,10800,2020
52,Carnage Gaming,10620,2020
53,REJECT,10215,2020
54,NASR Esports,10160,2020
55,Lava City Boys,9750,2020
56,smile,9200,2020
57,HeadHunters,9130,2020
58,SunSister God,8910,2020
59,OUTSIDERS,8760,2020
60,ad hoc gaming,8735,2020
61,SJP2,8590,2020
62,eUnited,8400,2020
63,Millions Gaming,8325,2020
64,Yeet Squad,8160,2020
65,HRN,8090,2020
66,Magicians,7820,2020
67,Lazarus,7455,2020
68,The Start,7020,2020
69,Orgless and Hungry,6900,2020
69,GamersOrigin,6900,2020
71,Invictus Gaming Thunder,6875,2020
72,Team Superior,6870,2020
73,Team HLDC,6810,2020
74,SCARZ White,6680,2020
75,A3E,6630,2020
76,dead inside,6615,2020
77,Istanbul Wild Cats,6600,2020
77,INTZ,6600,2020
79,Team Fearow,6210,2020
80,The Dream Team,6200,2020
81,Thonburi Esport,6082,2020
82,CrowCrowd,6000,2020
83,Armory Gaming,5930,2020
84,Flying Camels,5900,2020
85,HPS,5875,2020
86,GODSENT,5760,2020
87,RedSea Perangai Gaming,5640,2020
88,Cyma,5580,2020
89,Hybrid Eclipse Arise,5360,2020
90,FlavorOfTheMonth,5310,2020
91,303 Esports,4535,2020
92,Virtus.pro,4440,2020
93,High Quality,4210,2020
94,Donuts Unsold Stuff Gaming,4200,2020
94,CPTL eSports,4200,2020
96,JUPITER XENA,4191,2020
97,Hybrid Eclipse,4050,2020
98,WOLFPACK SHADOW,3510,2020
99,Crest Gaming,3458,2020
100,SZN,3360,2020
101,Fênix II,3330,2020
102,UNDERRATED,3180,2020
103,Inside The Ring,3130,2020
104,Perangai Esport,3000,2020
104,Winstrike Team,3000,2020
106,Xavier Esports,2730,2020
107,Natus Vincere,2715,2020
108,Noble White,2450,2020
109,Griffin,2400,2020
109,b100,2400,2020
111,Team Singularity,2280,2020
111,Purge,2280,2020
113,OFF LIMITS,2250,2020
114,Pro Gaming team Selector Black,2220,2020
114,Kawaii Team,2220,2020
114,Steady Aiming,2220,2020
117,SBI e-Sports,2199,2020
118,Team Genesis,2190,2020
119,Luster7,2176,2020
120,Varazze,2160,2020
121,2 Brains 1 Controller,2105,2020
122,Way Myriad,2025,2020
123,Clique Esports,2010,2020
124,Potatos,1949,2020
